,refNum
769,1155
770,1157
771,1158
772,1160
773,1162
774,1164
775,1165
776,1166
777,1167
778,1168
779,1169
780,1170
781,1171
782,1172
783,1173
784,1174
785,1175
786,1176
787,1177
788,1178
789,1179
790,1181
791,1183
792,1184
793,1185
794,1186
795,1188
796,1189
797,1190
798,1191
799,1192
800,1193
801,1194
802,1197
803,1199
804,1200
805,1201
806,1202
807,1203
808,1204
809,1205
810,1206
811,1207
812,1208
813,1209
814,1210
815,1212
816,1215
817,1216
818,1217
819,1218
820,1220
821,1222
822,1223
823,1224
824,1225
825,1226
826,1229
827,1231
828,1234
829,1235
830,1236
831,1237
832,1238
833,1241
834,1243
835,1244
836,1245
837,1246
838,1247
839,1248
840,1249
841,1250
842,1251
843,1252
844,1253
845,1254
846,1256
847,1257
848,1258
849,1259
850,1260
851,1262
852,1263
853,1265
854,1266
855,1267
856,1268
857,1269
858,1270
859,1271
860,1272
861,1273
862,1274
863,1275
864,1276
865,1277
866,1278
867,1279
868,1280
869,1281
870,1282
871,1284
872,1286
873,1287
874,1289
875,1290
876,1291
877,1292
878,1293
879,1295
880,1296
881,1297
882,1298
883,1299
884,1300
885,1302
886,1304
887,1306
888,1307
889,1308
890,1309
891,1310
892,1311
893,1312
894,1313
895,1315
896,1317
897,1318
898,1319
899,1322
900,1324
901,1325
902,1327
903,1328
904,1329
905,1330
906,1335
907,1337
908,1339
909,1340
910,1341
911,1342
912,1343
913,1344
914,1345
915,1346
916,1347
917,1350
918,1351
919,1352
920,1354
921,1359
922,1360
923,1362
924,1364
925,1365
926,1366
927,1367
928,1368
929,1369
930,1370
931,1371
932,1373
933,1375
934,1376
935,1377
936,1379
937,1380
938,1381
939,1382
940,1384
941,1385
942,1391
943,1392
944,1393
945,1395
946,1398
947,1399
948,1400
949,1401
950,1402
951,1403
952,1404
953,1406
954,1408
955,1410
956,1411
957,1412
958,1413
959,1414
960,1416
961,1418
962,1419
963,1421
964,1422
965,1423
966,1425
967,1426
968,1427
969,1429
970,1431
971,1432
972,1434
973,1436
974,1437
975,1438
976,1440
977,1441
978,1442
979,1443
980,1444
981,1445
982,1446
983,1447
984,1448
985,1449
986,1450
987,1451
988,1453
989,1454
990,1455
991,1457
992,1458
993,1460
994,1461
995,1463
996,1464
997,1465
998,1466
999,1467
1000,1468
1001,1469
1002,1470
1003,1471
1004,1472
1005,1474
1006,1476
1007,1478
1008,1479
1009,1480
1010,1481
1011,1482
1012,1483
1013,1484
1014,1485
1015,1486
1016,1488
1017,1489
1018,1490
1019,1491
1020,1492
1021,1493
1022,1495
1023,1496
1024,1497
1025,1498
1026,1499
1027,1500
1028,1501
1029,1503
1030,1504
1031,1506
1032,1507
1033,1508
1034,1509
1035,1511
1036,1512
1037,1514
1038,1515
1039,1516
1040,1517
1041,1518
1042,1520
1043,1521
1044,1523
1045,1524
1046,1525
1047,1528
1048,1529
1049,1530
1050,1531
1051,1532
1052,1533
1053,1535
1054,1537
1055,1539
1056,1540
1057,1541
1058,1542
1059,1543
1060,1545
1061,1546
1062,1547
1063,1548
1064,1550
1065,1551
1066,1552
1067,1553
1068,1556
1069,1557
1070,1558
1071,1560
1072,1561
1073,1563
1074,1565
1075,1567
1076,1569
1077,1570
1078,1573
1079,1575
1080,1576
1081,1577
1082,1578
1083,1579
1084,1580
1085,1581
1086,1582
1087,1583
1088,1584
1089,1585
1090,1588
1091,1589
1092,1590
1093,1591
1094,1592
1095,1593
1096,1594
1097,1595
1098,1596
1099,1597
1100,1598
1101,1599
1102,1602
1103,1603
1104,1607
1105,1608
