"","Avrate_OR","covariates.formula","Avrate_LCI","Avrate_UCI","Pval_first_covariate","R2m","signif","avrate.or.n"
"49",1.01002396341117,"avrate+weight+club",0.802239150449236,1.27162630506569,0.932360204525213,0.279538447605577,"p >= .05",1
"177",1.01070079449544,"avrate+weight+club+meanIAT",0.802702805053641,1.27259564755782,0.927858089936929,0.279521903616244,"p >= .05",2
"57",1.02065755189176,"avrate+height+weight+club",0.810060654186783,1.28600473661999,0.862323519660266,0.279740734987106,"p >= .05",3
"185",1.02140317737159,"avrate+height+weight+club+meanIAT",0.810574350516047,1.28706817589354,0.857516894211791,0.279723272906251,"p >= .05",4
"33",1.03354901397081,"avrate+club",0.819292818427636,1.30383611360117,0.780704697678738,0.275062749364388,"p >= .05",5
"161",1.03410645353186,"avrate+club+meanIAT",0.819655325978732,1.30466566048275,0.777305607755298,0.275045984356926,"p >= .05",6
"305",1.04567843194386,"avrate+weight+club+refCountry",0.830953270445614,1.31589034175916,0.703294935731985,0.752383825667577,"p >= .05",7
"433",1.04567844848726,"avrate+weight+club+meanIAT+refCountry",0.830953273261329,1.31589037893692,0.703294850910134,0.75238382447251,"p >= .05",8
"51",1.04640528900296,"avrate+position+weight+club",0.829204644956421,1.32049915001491,0.702354528734963,0.285079024979616,"p >= .05",9
"41",1.04707543432139,"avrate+height+club",0.83166469292184,1.31828004061051,0.695468522827326,0.278790197443717,"p >= .05",10
"179",1.04717234399501,"avrate+position+weight+club+meanIAT",0.8297149680042,1.32162243699869,0.697926318363954,0.285061204754345,"p >= .05",11
"169",1.04786230899133,"avrate+height+club+meanIAT",0.832213605739373,1.31939133298491,0.690866549017664,0.278770213599672,"p >= .05",12
"59",1.0486081931522,"avrate+position+height+weight+club",0.830485023802767,1.32402043532464,0.689966495568725,0.285105732200634,"p >= .05",13
"187",1.04940567067351,"avrate+position+height+weight+club+meanIAT",0.831015172591143,1.32518911563066,0.685420430927744,0.285087628316741,"p >= .05",14
"53",1.05778640229039,"avrate+yellowCards+weight+club",0.848351650429368,1.31892484950567,0.617750354398114,0.332667097900673,"p >= .05",15
"181",1.05802125526554,"avrate+yellowCards+weight+club+meanIAT",0.848427693050604,1.3193923132904,0.6165732192869,0.332649669573577,"p >= .05",16
"313",1.05871370722243,"avrate+height+weight+club+refCountry",0.840757791020559,1.33317196204637,0.627585402066475,0.752505620908469,"p >= .05",17
"441",1.0587137658756,"avrate+height+weight+club+meanIAT+refCountry",0.840757778553101,1.33317212953232,0.627585172778446,0.752505580875494,"p >= .05",18
"417",1.07125429709127,"avrate+club+meanIAT+refCountry",0.849526558156785,1.35085331708336,0.560754723251584,0.750815422446686,"p >= .05",19
"289",1.07125431069472,"avrate+club+refCountry",0.849526564038944,1.35085334203796,0.560754660708087,0.750815428475174,"p >= .05",20
"113",1.07233253261859,"avrate+weight+club+age",0.85231839740506,1.34914025558189,0.551128127624184,0.312036756391942,"p >= .05",21
"241",1.07278986894559,"avrate+weight+club+age+meanIAT",0.852600845863114,1.3498439609771,0.548865012854868,0.312028612155737,"p >= .05",22
"43",1.07526259750185,"avrate+position+height+club",0.852617088386103,1.35604794852862,0.539868652128596,0.284519690325826,"p >= .05",23
"171",1.07610124042841,"avrate+position+height+club+meanIAT",0.853182160718747,1.3572645244669,0.535728462060327,0.28449930331885,"p >= .05",24
"61",1.07634813405753,"avrate+yellowCards+height+weight+club",0.862781516891518,1.34277946734781,0.514398450884562,0.333212810149816,"p >= .05",25
"189",1.07665461180887,"avrate+yellowCards+height+weight+club+meanIAT",0.862909495338674,1.343344996655,0.513032027055356,0.333191389557435,"p >= .05",26
"435",1.07692060221557,"avrate+position+weight+club+meanIAT+refCountry",0.853815246063343,1.35832428481877,0.531538230414822,0.754268735784496,"p >= .05",27
"307",1.07692063314991,"avrate+position+weight+club+refCountry",0.853815254403627,1.35832434958553,0.531538104828333,0.754268739720489,"p >= .05",28
"35",1.07859279246768,"avrate+position+club",0.854493462968153,1.36146437905119,0.524332367097817,0.283288336222337,"p >= .05",29
"163",1.07931261412221,"avrate+position+club+meanIAT",0.854959281743766,1.3625394143068,0.520899793707039,0.283270028332395,"p >= .05",30
"443",1.08131726422924,"avrate+position+height+weight+club+meanIAT+refCountry",0.856906301831815,1.36449810605978,0.510055479188447,0.754310677842814,"p >= .05",31
"315",1.08131727404202,"avrate+position+height+weight+club+refCountry",0.856906306706653,1.36449812306253,0.510055436236763,0.754310684051897,"p >= .05",32
"297",1.08460224199278,"avrate+height+club+refCountry",0.861999529015296,1.36468986784665,0.488354710434579,0.752266145320404,"p >= .05",33
"425",1.08460224381438,"avrate+height+club+meanIAT+refCountry",0.861999529875906,1.36468987106818,0.488354702730698,0.752266146166471,"p >= .05",34
"115",1.08773824610484,"avrate+position+weight+club+age",0.862669408514257,1.37152712309222,0.477065612882484,0.316739750687543,"p >= .05",35
"243",1.08823579650706,"avrate+position+weight+club+age+meanIAT",0.862957140555983,1.37232441003543,0.474908939285575,0.316732250996561,"p >= .05",36
"37",1.08945864375008,"avrate+yellowCards+club",0.871668379979414,1.36166478411182,0.451471276360944,0.327487003442259,"p >= .05",37
"165",1.08949890771481,"avrate+yellowCards+club+meanIAT",0.871580123608666,1.36190332679582,0.451556464971938,0.327481818817944,"p >= .05",38
"309",1.09018621106283,"avrate+yellowCards+weight+club+refCountry",0.874617800716856,1.35888610295537,0.442388284947104,0.761895443523143,"p >= .05",39
