"","name","value"
"1","Skin_Tone",0.000714012684700751
"2","Position",0.0118102107122133
"3","Yellow_Cards",0.0240295942011697
"4","Height",0.00223738744237861
"5","Weight",0.00223738744237861
"6","Club",0.275059103251822
"7","Age",0.0160515835934165
"8","Mean_IAT",8.64786892604418e-05
"9","Ref_Country",0.710464633344437
"10","Victories",0.0324930012585459
"11","Skin_Tone",0.0129602449154576
"12","Position",0.0129602449154576
"13","Yellow_Cards",0.0253483345765002
"14","Height",0.00309483457087397
"15","Weight",0.00309483457087397
"16","Club",0.275062749364388
"17","Age",0.0173300220502156
"18","Mean_IAT",0.000804359777004736
"19","Ref_Country",0.710502834881069
"20","Victories",0.0339582020686506
"21","Skin_Tone",0.0253483345765002
"22","Position",0.0358749008159169
"23","Yellow_Cards",0.0358749008159169
"24","Height",0.012078115010996
"25","Weight",0.012078115010996
"26","Club",0.283252067906725
"27","Age",0.0256613954113168
"28","Mean_IAT",0.0118939690001574
"29","Ref_Country",0.713591255373594
"30","Victories",0.0439158054019627
"31","Skin_Tone",0.0378399367518174
"32","Position",0.0378399367518174
"33","Yellow_Cards",0.0378399367518174
"34","Height",0.0132538556968878
"35","Weight",0.0132538556968878
"36","Club",0.283288336222337
"37","Age",0.027112464040758
"38","Mean_IAT",0.0130495571909407
"39","Ref_Country",0.713677746447008
"40","Victories",0.0458639659366133
"41","Skin_Tone",0.00309483457087397
"42","Position",0.012078115010996
"43","Yellow_Cards",0.0272654625095414
"44","Height",0.0272654625095414
"45","Weight",0.0272654625095414
"46","Club",0.327379503026144
"47","Age",0.0351555954581483
"48","Mean_IAT",0.0240472068215256
"49","Ref_Country",0.721654167114971
"50","Victories",0.0378910390076964
"51","Skin_Tone",0.0132538556968878
"52","Position",0.0132538556968878
"53","Yellow_Cards",0.0288068680488667
"54","Height",0.0288068680488667
"55","Weight",0.0288068680488667
"56","Club",0.327487003442259
"57","Age",0.0369441108359151
"58","Mean_IAT",0.0253720031492651
"59","Ref_Country",0.72181136202005
"60","Victories",0.0395402570496432
"61","Skin_Tone",0.0288068680488667
"62","Position",0.0362300627402103
"63","Yellow_Cards",0.0362300627402103
"64","Height",0.0362300627402103
"65","Weight",0.0362300627402103
"66","Club",0.335121338876887
"67","Age",0.0441380318521948
"68","Mean_IAT",0.0358942366697013
"69","Ref_Country",0.724398576032691
"70","Victories",0.0493415613047255
"71","Skin_Tone",0.0382435590003322
"72","Position",0.0382435590003322
"73","Yellow_Cards",0.0382435590003322
"74","Height",0.0382435590003322
"75","Weight",0.0382435590003322
"76","Club",0.335309010060534
"77","Age",0.0462383181508075
"78","Mean_IAT",0.0378674875664476
"79","Ref_Country",0.724615680726926
"80","Victories",0.0515812185913386
"81","Skin_Tone",0.00364842248792577
"82","Position",0.0125852033269789
"83","Yellow_Cards",0.0276165939896751
"84","Height",0.00297501037677698
"85","Weight",0.00297501037677698
"86","Club",0.278775855840234
"87","Age",0.017236436530701
"88","Mean_IAT",0.00234024837611785
"89","Ref_Country",0.711603870806186
"90","Victories",0.0347018185010345
"91","Skin_Tone",0.0136987053653558
"92","Position",0.0136987053653558
"93","Yellow_Cards",0.0289403856616636
"94","Height",0.00375510245896927
"95","Weight",0.00375510245896927
"96","Club",0.278790197443717
"97","Age",0.0186274960608625
"98","Mean_IAT",0.00320027587480985
"99","Ref_Country",0.711673344292851
"100","Victories",0.0363672234288494
"101","Skin_Tone",0.0289403856616636
"102","Position",0.0365233164172406
"103","Yellow_Cards",0.0365233164172406
"104","Height",0.0126194792400675
"105","Weight",0.0126194792400675
"106","Club",0.28448376532912
"107","Age",0.0258797043517916
"108","Mean_IAT",0.0121665003334846
"109","Ref_Country",0.714008678384497
"110","Victories",0.044209287094813
"111","Skin_Tone",0.038444167385735
"112","Position",0.038444167385735
"113","Yellow_Cards",0.038444167385735
"114","Height",0.0137147794727351
"115","Weight",0.0137147794727351
"116","Club",0.284519690325826
"117","Age",0.0273520834837087
"118","Mean_IAT",0.0133470791620435
"119","Ref_Country",0.714106573149864
"120","Victories",0.0461962229793958
"121","Skin_Tone",0.00375510245896927
"122","Position",0.0126194792400675
"123","Yellow_Cards",0.0278916193922861
"124","Height",0.0278916193922861
"125","Weight",0.0278916193922861
"126","Club",0.332321325970723
"127","Age",0.0374037794512349
"128","Mean_IAT",0.0272939550725206
"129","Ref_Country",0.723280594452317
"130","Victories",0.0408445132373429
"131","Skin_Tone",0.0137147794727351
"132","Position",0.0137147794727351
"133","Yellow_Cards",0.0293272058964886
"134","Height",0.0293272058964886
"135","Weight",0.0293272058964886
"136","Club",0.332456568950506
"137","Age",0.0393746545173049
"138","Mean_IAT",0.0288424394086755
"139","Ref_Country",0.72348187830486
"140","Victories",0.0427374350066204
"141","Skin_Tone",0.0293272058964886
"142","Position",0.0365228950164078
"143","Yellow_Cards",0.0365228950164078
"144","Height",0.0365228950164078
"145","Weight",0.0365228950164078
"146","Club",0.33671022095781
"147","Age",0.0444749859173216
"148","Mean_IAT",0.0362532500489173
"149","Ref_Country",0.724915295665339
"150","Victories",0.0497265674456324
"151","Skin_Tone",0.0384536855325371
"152","Position",0.0384536855325371
"153","Yellow_Cards",0.0384536855325371
"154","Height",0.0384536855325371
"155","Weight",0.0384536855325371
"156","Club",0.336898306007735
"157","Age",0.0466173027040851
"158","Mean_IAT",0.0382756410955248
