"","name","value"
"1","Skin_Tone",0.000714012684700751
"2","Position",0.0118102107122133
"3","Yellow_Cards",0.0240295942011697
"4","Height",0.00223738744237861
"5","Weight",0.00223738744237861
"6","Age",0.0160515835934165
"7","Mean_IAT",8.64786892604418e-05
"8","Victories",0.0324930012585459
"9","Skin_Tone",0.0129602449154576
"10","Position",0.0129602449154576
"11","Yellow_Cards",0.0253483345765002
"12","Height",0.00309483457087397
"13","Weight",0.00309483457087397
"14","Age",0.0173300220502156
"15","Mean_IAT",0.000804359777004736
"16","Victories",0.0339582020686506
"17","Skin_Tone",0.0253483345765002
"18","Position",0.0358749008159169
"19","Yellow_Cards",0.0358749008159169
"20","Height",0.012078115010996
"21","Weight",0.012078115010996
"22","Age",0.0256613954113168
"23","Mean_IAT",0.0118939690001574
"24","Victories",0.0439158054019627
"25","Skin_Tone",0.0378399367518174
"26","Position",0.0378399367518174
"27","Yellow_Cards",0.0378399367518174
"28","Height",0.0132538556968878
"29","Weight",0.0132538556968878
"30","Age",0.027112464040758
"31","Mean_IAT",0.0130495571909407
"32","Victories",0.0458639659366133
"33","Skin_Tone",0.00309483457087397
"34","Position",0.012078115010996
"35","Yellow_Cards",0.0272654625095414
"36","Height",0.0272654625095414
"37","Weight",0.0272654625095414
"38","Age",0.0351555954581483
"39","Mean_IAT",0.0240472068215256
"40","Victories",0.0378910390076964
"41","Skin_Tone",0.0132538556968878
"42","Position",0.0132538556968878
"43","Yellow_Cards",0.0288068680488667
"44","Height",0.0288068680488667
"45","Weight",0.0288068680488667
"46","Age",0.0369441108359151
"47","Mean_IAT",0.0253720031492651
"48","Victories",0.0395402570496432
"49","Skin_Tone",0.0288068680488667
"50","Position",0.0362300627402103
"51","Yellow_Cards",0.0362300627402103
"52","Height",0.0362300627402103
"53","Weight",0.0362300627402103
"54","Age",0.0441380318521948
"55","Mean_IAT",0.0358942366697013
"56","Victories",0.0493415613047255
"57","Skin_Tone",0.0382435590003322
"58","Position",0.0382435590003322
"59","Yellow_Cards",0.0382435590003322
"60","Height",0.0382435590003322
"61","Weight",0.0382435590003322
"62","Age",0.0462383181508075
"63","Mean_IAT",0.0378674875664476
"64","Victories",0.0515812185913386
"65","Skin_Tone",0.00364842248792577
"66","Position",0.0125852033269789
"67","Yellow_Cards",0.0276165939896751
"68","Height",0.00297501037677698
"69","Weight",0.00297501037677698
"70","Age",0.017236436530701
"71","Mean_IAT",0.00234024837611785
"72","Victories",0.0347018185010345
"73","Skin_Tone",0.0136987053653558
"74","Position",0.0136987053653558
"75","Yellow_Cards",0.0289403856616636
"76","Height",0.00375510245896927
"77","Weight",0.00375510245896927
"78","Age",0.0186274960608625
"79","Mean_IAT",0.00320027587480985
"80","Victories",0.0363672234288494
"81","Skin_Tone",0.0289403856616636
"82","Position",0.0365233164172406
"83","Yellow_Cards",0.0365233164172406
"84","Height",0.0126194792400675
"85","Weight",0.0126194792400675
"86","Age",0.0258797043517916
"87","Mean_IAT",0.0121665003334846
"88","Victories",0.044209287094813
"89","Skin_Tone",0.038444167385735
"90","Position",0.038444167385735
"91","Yellow_Cards",0.038444167385735
"92","Height",0.0137147794727351
"93","Weight",0.0137147794727351
"94","Age",0.0273520834837087
"95","Mean_IAT",0.0133470791620435
"96","Victories",0.0461962229793958
"97","Skin_Tone",0.00375510245896927
"98","Position",0.0126194792400675
"99","Yellow_Cards",0.0278916193922861
"100","Height",0.0278916193922861
"101","Weight",0.0278916193922861
"102","Age",0.0374037794512349
"103","Mean_IAT",0.0272939550725206
"104","Victories",0.0408445132373429
"105","Skin_Tone",0.0137147794727351
"106","Position",0.0137147794727351
"107","Yellow_Cards",0.0293272058964886
"108","Height",0.0293272058964886
"109","Weight",0.0293272058964886
"110","Age",0.0393746545173049
"111","Mean_IAT",0.0288424394086755
"112","Victories",0.0427374350066204
"113","Skin_Tone",0.0293272058964886
"114","Position",0.0365228950164078
"115","Yellow_Cards",0.0365228950164078
"116","Height",0.0365228950164078
"117","Weight",0.0365228950164078
"118","Age",0.0444749859173216
"119","Mean_IAT",0.0362532500489173
"120","Victories",0.0497265674456324
"121","Skin_Tone",0.0384536855325371
"122","Position",0.0384536855325371
"123","Yellow_Cards",0.0384536855325371
"124","Height",0.0384536855325371
"125","Weight",0.0384536855325371
"126","Age",0.0466173027040851
"127","Mean_IAT",0.0382756410955248
"128","Victories",0.052018842919491
"129","Skin_Tone",0.0173300220502156
"130","Position",0.0256613954113168
"131","Yellow_Cards",0.0351555954581483
"132","Height",0.017236436530701
"133","Weight",0.017236436530701
"134","Age",0.0170830998765336
"135","Mean_IAT",0.00300948310753129
"136","Victories",0.0349135620934945
"137","Skin_Tone",0.027112464040758
"138","Position",0.027112464040758
"139","Yellow_Cards",0.0369441108359151
"140","Height",0.0186274960608625
"141","Weight",0.0186274960608625
"142","Age",0.0183524113129782
"143","Mean_IAT",0.00375283899024151
"144","Victories",0.0363954343896413
"145","Skin_Tone",0.0369441108359151
"146","Position",0.0441380318521948
"147","Yellow_Cards",0.0441380318521948
"148","Height",0.0258797043517916
"149","Weight",0.0258797043517916
"150","Age",0.0259463637130208
"151","Mean_IAT",0.0126739293724957
"152","Victories",0.0444676133344578
"153","Skin_Tone",0.0462383181508075
"154","Position",0.0462383181508075
"155","Yellow_Cards",0.0462383181508075
"156","Height",0.0273520834837087
"157","Weight",0.0273520834837087
"158","Age",0.0273643433469063
"159","Mean_IAT",0.0137921816688756
"160","Victories",0.0463695861600719
"161","Skin_Tone",0.0186274960608625
"162","Position",0.0258797043517916
