"","rownumber","covariates.formula","covariates.rownumber","R2c","R2m","Avrate_OR","Avrate_LCI","Avrate_UCI","R2_first_covariate","Pval_first_covariate","Model Covariates","n"
"72",72,"height+age","72",0.213594542880443,0.017236436530701,1.01125868415135,1.00169708869422,1.02091154882422,0.0111957768952033,0.0208996548886591,"2",36
"88",88,"height+weight+age","88",0.213571193314465,0.0173028149613662,1.00722873752785,0.991826987300644,1.02286965639344,0.0072027354377247,0.359593532288703,"3",37
"65",65,"avrate+age","65",0.213890148467301,0.0173300220502156,1.24398773990131,0.996353100619205,1.55316975082733,0.218322138883624,0.0538919117108943,"2",38
"200",200,"height+age+meanIAT","200",0.213925527105979,0.0173351430917067,1.01132417518425,1.00175930389809,1.02098037256278,0.0112605366973687,0.0202057841251413,"3",39
"216",216,"height+weight+age+meanIAT","216",0.213900465865607,0.0174005734108166,1.00731633773439,0.991909394497015,1.022962591035,0.00728970316822506,0.353943203910569,"4",40
"193",193,"avrate+age+meanIAT","193",0.214214182709713,0.017430523919469,1.24624857025289,0.998018184126706,1.55621963964154,0.220137895053846,0.0520815071756862,"3",41
"81",81,"avrate+weight+age","81",0.214107013825694,0.0183524113129782,1.24906496761345,1.00119649349868,1.55829879893728,0.222395245493996,0.0487743036673254,"3",42
"209",209,"avrate+weight+age+meanIAT","209",0.214453063985051,0.0184611295399071,1.25156648150965,1.00305890000396,1.56164175167806,0.224395951940765,0.0469214031719509,"4",43
"73",73,"avrate+height+age","73",0.214338474528267,0.0186274960608625,1.26380111691868,1.01283171341077,1.57695818760085,0.234123939134862,0.038186370144071,"3",44
"89",89,"avrate+height+weight+age","89",0.21429993934982,0.0186600678708348,1.26013177932088,1.00968372623141,1.57270248098507,0.231216302257172,0.0408342899923913,"4",45
"201",201,"avrate+height+age+meanIAT","201",0.214698581513357,0.0187434172358112,1.26663946006666,1.01495736618506,1.58073193539978,0.236367298938817,0.0364990883485077,"4",46
"217",217,"avrate+height+weight+age+meanIAT","217",0.214659324495472,0.0187752171114431,1.26296483501585,1.01179924385607,1.57647891533068,0.23346200055466,0.0390508138880984,"5",47
"4",4,"yellowCards","4",0.170324853807868,0.0240295942011697,1.43516013038031,1.38210717394872,1.49024955419965,0.361276432101179,7.75777998988418e-79,"1",48
"132",132,"yellowCards+meanIAT","132",0.170521083146925,0.0240472068215256,1.43507654569035,1.38202090574307,1.49016898617988,0.36121818973345,8.54294368394794e-79,"2",49
"5",5,"avrate+yellowCards","5",0.170303742751893,0.0253483345765002,1.2694732699916,1.0242686252249,1.57337864651407,0.238602066400636,0.029336027579497,"2",50
"133",133,"avrate+yellowCards+meanIAT","133",0.170520219177091,0.0253720031492651,1.27186964059363,1.02601120209274,1.57664202823931,0.240487975856063,0.0282166253993896,"3",51
"66",66,"position+age","66",0.214504693905997,0.0256613954113168,1.54187677972532,1.32541187587886,1.7936945089463,0.433000362561261,2.02322168749225e-08,"2",52
"194",194,"position+age+meanIAT","194",0.214791993887655,0.0257407274660609,1.54181980102252,1.32538503834582,1.79359826016451,0.43296340775633,2.02157670799322e-08,"3",53
"74",74,"position+height+age","74",0.214662601977978,0.0258797043517916,1.50213630846055,1.28121841560578,1.76114662551789,0.406888300529586,5.35275487591286e-07,"3",54
"82",82,"position+weight+age","82",0.214662329578206,0.0259463637130208,1.50106275047972,1.28210210888739,1.75741804436549,0.406173357560114,4.441665343257e-07,"3",55
"90",90,"position+height+weight+age","90",0.214684159403836,0.0259585848449461,1.4963316154342,1.27568404702317,1.75514329631439,0.403016523058538,7.37258383723414e-07,"4",56
"202",202,"position+height+age+meanIAT","202",0.214967456543546,0.0259644388366606,1.50163236134775,1.28080664188754,1.76053096142892,0.406552757301775,5.45641010375508e-07,"4",57
"210",210,"position+weight+age+meanIAT","210",0.214960614263199,0.0260286654040748,1.50079577645676,1.28189502690593,1.75707676163388,0.405995485071274,4.48107290364049e-07,"4",58
"218",218,"position+height+weight+age+meanIAT","218",0.214986805937182,0.0260420897644681,1.49586951707013,1.27530833827776,1.75457616400549,0.402707654538487,7.50060689235247e-07,"5",59
"67",67,"avrate+position+age","67",0.215338873939517,0.027112464040758,1.27701465873888,1.02180092946084,1.59597274930496,0.244525056028279,0.0315907765594824,"3",60
"195",195,"avrate+position+age+meanIAT","195",0.21566503855932,0.0272092060675221,1.27967286817897,1.02375625595898,1.59956302100389,0.246604473532321,0.0302957937689612,"4",61
"12",12,"yellowCards+height","12",0.171196959077544,0.0272654625095414,1.44049980414953,1.38723376400525,1.4958111167679,0.364990139582372,2.22202999650199e-80,"2",62
"140",140,"yellowCards+height+meanIAT","140",0.171444882681164,0.0272939550725206,1.440417914568,1.38714781466803,1.49573372546815,0.364933289932679,2.46874888746584e-80,"3",63
"75",75,"avrate+position+height+age","75",0.215486888701843,0.0273520834837087,1.28177260815609,1.02588543854152,1.60148585533586,0.248243970032916,0.0288966819311357,"4",64
"83",83,"avrate+position+weight+age","83",0.215445944196685,0.0273643433469063,1.27515324842141,1.02063133598915,1.59314705479213,0.24306636622789,0.0323761593412665,"4",65
"91",91,"avrate+position+height+weight+age","91",0.215484724902089,0.0273959867336289,1.27823655942775,1.02280925964791,1.59745200431617,0.245481440099884,0.0309085693859137,"5",66
"203",203,"avrate+position+height+age+meanIAT","203",0.21582794499404,0.0274539959786894,1.28468704965059,1.02804651998973,1.60539507060091,0.250515147558279,0.0275784018146588,"5",67
"211",211,"avrate+position+weight+age+meanIAT","211",0.215780147362042,0.0274632751371286,1.27788485315565,1.02265041667549,1.59682103610076,0.24520625264393,0.0310065784166775,"5",68
